Restaurante_Name,online_order,book_table,Rating( out of 5),votes,location,Type,Sub-TYpe,dish_liked,cuisines,Cost,listed_in(city)
Myu Bar at Gilly's Redefined,No,Yes,4.5,1250,Koramangala 4th Block,Drinks & nightlife,"Microbrewery, Bar","Mai Thai, Sangria, Pizza, Cocktails, Biryani, Beer, Chicken Nachos","American, North Indian, Pizza, Finger Food, Continental, Italian",1200,Koramangala 7th Block
Naachiyar's,Yes,No,3.9,117,Ulsoor,Dine-out,Casual Dining,"Crab Soup, Raita, Kozhi Biryani, Mutton Biryani",Chettinad,600,Frazer Town
Naadan Bhakshanasaala,No,No,3.3,8,Electronic City,Dine-out,Quick Bites,"","Kerala, South Indian",250,Electronic City
Naani'z Biryani,No,No,3.3,6,Koramangala 1st Block,Dine-out,Quick Bites,"",Biryani,300,Koramangala 4th Block
Naati Biriyani,No,No,3.1,4,BTM,Delivery,Quick Bites,"","Kebab, Biryani",300,JP Nagar
Naati house,No,No,0,0,Marathahalli,Dine-out,Casual Dining,"","South Indian, North Indian, Chinese",0,Marathahalli
Naati Houz,No,No,0,0,Marathahalli,Dine-out,Quick Bites,"",South Indian,300,Marathahalli
Naati Kitchen,No,No,0,0,Electronic City,Dine-out,Quick Bites,"","Kerala, South Indian",300,Electronic City
Naati Manae,Yes,Yes,3.9,484,Koramangala 5th Block,Buffet,Casual Dining,"Chicken Chettinad, Donne Biryani, Chicken Guntur, Veg Thali, Gobi Tikka, Mutton Chops, Chicken Curry","North Indian, South Indian, Chinese, Biryani",700,Koramangala 4th Block
Nadan Thattukada,Yes,No,3.7,36,BTM,Delivery,Quick Bites,"","Kerala, South Indian",200,Koramangala 5th Block
Nadeem's Kitchen,Yes,No,2.9,7,Hennur,Delivery,"Takeaway, Delivery","","Biryani, Kebab",500,Kammanahalli
Nadella's Kitchen,No,No,3.3,4,Bannerghatta Road,Delivery,Quick Bites,"","North Indian, Biryani",300,Bannerghatta Road
Nagappa Naidu Hotel,No,No,0,0,Bommanahalli,Dine-out,Quick Bites,"",South Indian,200,HSR
