Restaurante_Name,online_order,book_table,Rating( out of 5),votes,location,Type,Sub-TYpe,dish_liked,cuisines,Cost,listed_in(city)
#FeelTheROLL,No,No,3.4,7,Bellandur,Delivery,Quick Bites,"",Fast Food,200,Bellandur
#L-81 Cafe,Yes,No,3.9,48,HSR,Dine-out,Quick Bites,Burgers,"Fast Food, Beverages",400,HSR
#refuel,Yes,No,3.7,37,Bannerghatta Road,Delivery,Cafe,"Thick Shakes, Sandwiches, Pasta, Mocktails","Cafe, Beverages",400,Bannerghatta Road
#Vibes Restro,No,No,0,0,Electronic City,Delivery,Casual Dining,"","Continental, Chinese, Italian",700,Electronic City
'@ Biryani Central,Yes,No,2.7,135,Marathahalli,Dine-out,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Dal Fry","Biryani, Mughlai, Chinese",550,Marathahalli
'@ The Bbq,Yes,Yes,3.8,32,Bellandur,Delivery,Casual Dining,"","BBQ, Continental, North Indian, Chinese, Beverages",700,Sarjapur Road
'@99,No,No,3.4,37,Whitefield,Delivery,"Takeaway, Delivery","","Mughlai, Biryani, Chinese, North Indian",200,Whitefield
'@Italy,Yes,No,4.1,305,Kumaraswamy Layout,Delivery,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700,Banashankari
'@North Parontha Hut,No,No,0,0,Old Airport Road,Delivery,"Takeaway, Delivery","",North Indian,300,Old Airport Road
1 Fahreheit,No,No,0,0,New BEL Road,Desserts,Dessert Parlor,"","Desserts, Ice Cream",200,New BEL Road
1000 B.C,Yes,No,3.2,49,Koramangala 5th Block,Delivery,Quick Bites,"Shawarma, Sandwiches","Arabian, Sandwich, Rolls, Burger",300,BTM
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,No,No,3.7,41,BTM,Dine-out,Casual Dining,Chicken Biryani,"Biryani, North Indian",450,JP Nagar
11 to 11 Express Biriyanis,Yes,No,3.5,22,Electronic City,Delivery,Quick Bites,"","Biryani, Kebab",300,Electronic City
1131 Bar + Kitchen,No,Yes,4.6,2785,Indiranagar,Pubs and bars,"Bar, Casual Dining","Pizza, Chocolate Cake, Cocktails, Beer, Nachos, Sangria, Mocktails","Continental, Asian, Italian, North Indian",1500,Indiranagar
12th Main - Grand Mercure,No,Yes,4.1,353,Koramangala 3rd Block,Buffet,Fine Dining,"Halwa, Waffles, Chaat, Pasta, Coffee, Creme Brulee, Salads","European, Asian",2000,BTM
1441 Pizzeria,Yes,No,4.1,140,JP Nagar,Delivery,Casual Dining,"Hot Chocolate, Masala Lemonade, Gourmet Pizza, Nutella Pizza, Jalapeno Poppers, Thin Crust Pizza, Wood Fire Pizza","Pizza, Salad",800,Jayanagar
1522 - The Pub,No,No,4.3,969,New BEL Road,Drinks & nightlife,Pub,"Biryani, Cocktails, Mocktails, Chilli Chicken, Wheat Beer, Chicken Wings, Devils Chicken","Chinese, Continental, North Indian",1400,New BEL Road
154 Breakfast Club,Yes,Yes,4.0,1513,Koramangala 3rd Block,Cafes,Cafe,"Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette","Cafe, Continental",900,Koramangala 4th Block
1722 Urban Bistro,Yes,Yes,4.1,218,Koramangala 5th Block,Delivery,Casual Dining,"Burgers, Pasta, Pizza, Biryani, Veg Burger, Chicken Burger, Chicken Lollipop","North Indian, Chinese, Fast Food, Biryani",600,BTM
18+ Ice Cafe,No,No,3.5,25,Kammanahalli,Dine-out,Cafe,"","Cafe, Fast Food, Chinese, Beverages",550,Kammanahalli
1947,No,Yes,4.1,2317,Jayanagar,Dine-out,Casual Dining,"Palak Paneer, Aam Panna, Crispy Corn, Gajar Ka Halwa, Panipuri, Kulfi, Salads","North Indian, Chinese",950,Jayanagar
1980s Games Cafe,Yes,No,3.4,58,Basavanagudi,Delivery,Cafe,"Maggi, Pasta, Burgers, Sandwiches, Fries","Cafe, Fast Food",400,Banashankari
1992 Chats - Space,Yes,No,3.7,33,Rajajinagar,Delivery,Quick Bites,"",Street Food,200,Malleshwaram
1Q1,No,Yes,4.3,606,Infantry Road,Drinks & nightlife,"Casual Dining, Bar","Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Octopus Takoyaki","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",2500,MG Road
1TO3 Kitchen,No,No,3.1,11,Marathahalli,Delivery,Delivery,"","North Indian, Chinese, Continental, Italian, South Indian",800,Marathahalli
2 Statez,Yes,No,3.7,209,Kalyan Nagar,Delivery,Casual Dining,"Fish Curry, Buttermilk, Appam, Neer Dosa, Chicken Stew, Chicken Curry, Egg Roast","Kerala, Seafood, South Indian, North Indian, Chinese",600,Kammanahalli
20 Char - Sterlings MAC Hotel,Yes,Yes,4.0,419,Old Airport Road,Pubs and bars,"Casual Dining, Bar","Rasmalai, Pizza, Fish, Mutton Curry, Salads, Virgin Mojito, Noodles","Chinese, Continental, North Indian, South Indian, Arabian",1400,Indiranagar
20 Feet High,Yes,Yes,4.0,933,Church Street,Delivery,"Casual Dining, Bar","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak","American, Continental, Steak, Salad",1000,Frazer Town
21 C - La Marvella Sarovar Premiere Hotel,No,No,3.6,15,Jayanagar,Dine-out,Casual Dining,"",Continental,1000,Jayanagar
21 Corner Haus Cafe,No,No,0,0,Shanti Nagar,Dine-out,Quick Bites,"","North Indian, Chinese, Biryani",300,Residency Road
22S,Yes,No,0,0,Marathahalli,Delivery,Delivery,"","North Indian, Mughlai, Biryani",500,Marathahalli
24 Carats - The Capitol,No,No,3.1,46,Cunningham Road,Dine-out,Casual Dining,"","Asian, Continental",1000,MG Road
24 Hours Cake Delivery,No,No,3.3,4,Old Airport Road,Desserts,Delivery,"",Bakery,700,Indiranagar
24 Hours Coffee Drop - La Classic,No,No,3.4,9,Electronic City,Dine-out,Cafe,"",Cafe,800,Electronic City
24/7 - The Lalit Ashok Bangalore,No,Yes,4.0,344,Seshadripuram,Buffet,Fine Dining,"Salads, Breakfast Buffet, Rasmalai, Sunday Brunch, Omelette, Biryani, Pancakes","Continental, North Indian, Italian, Chinese",3000,Malleshwaram
24/7 Food Service,Yes,No,3.0,7,JP Nagar,Delivery,"Takeaway, Delivery","","South Indian, North Indian, Fast Food",300,Jayanagar
24@43 - The Oterra,No,Yes,4.1,268,Electronic City,Buffet,Fine Dining,"Sunday Brunch, Tea, Salads, Vegetable Biryani, Momos, Pasta, Wine","North Indian, Asian, Continental",3000,Electronic City
24th Main,No,Yes,4.1,1239,JP Nagar,Buffet,Casual Dining,"Carrot Halwa, Paneer Satay, Manchow Soup, Gajar Ka Halwa, Butter Naan, Mocktails, Tandoori Mushrooms","North Indian, South Indian, Chinese",800,JP Nagar
29 Degrees North,Yes,No,3.9,283,Banaswadi,Dine-out,Quick Bites,"Chaat, Paratha, Vada Pav, Dal Makhani, Paneer Bhurji, Rabri, Kulcha","North Indian, Fast Food, Street Food",250,Kalyan Nagar
2nd Home Restaurant,Yes,No,3.7,21,BTM,Dine-out,Quick Bites,"","South Indian, North Indian, Chinese",500,Koramangala 6th Block
3 Leafs,Yes,No,3.7,128,Kaggadasapura,Delivery,Casual Dining,"Butter Naan, Rumali Roti, Mutton Curry, Paratha, Biryani, Chicken Guntur","North Indian, South Indian, Chinese",600,Old Airport Road
3 Spice,Yes,No,3.9,156,Wilson Garden,Delivery,Casual Dining,"Manchow Soup, Shawarma, Momos, Hyderabadi Biryani, Vegetarian, Noodles, Dragon Chicken","North Indian, Chinese",450,MG Road
30 Square,Yes,No,4.2,557,Koramangala 5th Block,Delivery,Quick Bites,"Veg Momos, Noodles, Cheese Momos, Jhol Momos, Wai Wai Bhel, Brownie, Chicken Momo","Tibetan, Nepalese, Momos",400,Koramangala 6th Block
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Dine-out,Cafe,"","Cafe, Chinese, Continental, Italian",400,Basavanagudi
36th Cross Coffee Mane,No,No,3.8,19,Jayanagar,Dine-out,Quick Bites,"","South Indian, Chinese, Beverages, Cafe, Coffee, Fast Food, Momos, North Indian",200,Jayanagar
37 China Town,No,No,3.5,58,Race Course Road,Dine-out,Casual Dining,"","Chinese, Thai, North Indian, South Indian, Continental",900,Lavelle Road
38 Sugar Lane,No,No,0,0,Bellandur,Delivery,"Takeaway, Delivery","","Bakery, Desserts",850,Sarjapur Road
"3B's - Buddies, Bar & Barbecues",No,Yes,4.5,1909,Marathahalli,Buffet,"Casual Dining, Bar","Chicken Curry, Paan Shot, Pan Shot Ice Cream, Paan Ice Cream, Mocktails, Cocktails, Hot Gulab Jamun","North Indian, Mediterranean, European, BBQ",1100,Marathahalli
3G's - Gulp & Groove,Yes,Yes,4.1,664,Malleshwaram,Delivery,"Bar, Casual Dining","Peri Peri Chicken, Beer, Pasta, Nachos, Cocktails, Pizza, Dragon Prawn","Finger Food, Continental, Chinese",1100,Rajajinagar
3ice Cubes,No,No,0,0,JP Nagar,Delivery,Beverage Shop,"","Juices, Sandwich, Street Food",150,JP Nagar
3rd Innings,No,No,3.0,17,Electronic City,Drinks & nightlife,"Casual Dining, Bar","","Burger, Italian, North Indian, Chinese",1000,Electronic City
4 Mangoes,No,No,3.7,14,Old Airport Road,Desserts,Kiosk,"",Ice Cream,200,Indiranagar
4 Seasons Restaurant,Yes,Yes,3.7,399,Kalyan Nagar,Delivery,Casual Dining,"Veg Pulao, Mutton Biryani, Badami Kheer, Veg Platter, Chicken Kebab, Tandoori Chicken, Stuffed Capsicum","North Indian, Seafood, Middle Eastern, Chinese",1000,Kammanahalli
4 States,No,No,3.2,4,Bellandur,Dine-out,Food Court,"",South Indian,400,Sarjapur Road
46 Ounces Brewgarden,No,Yes,0,0,Electronic City,Dine-out,Microbrewery,"Pizza, Craft Beer, French Fries","Bar Food, Finger Food, Pizza",1600,Electronic City
4671 Indian Coastal Cuisine,No,No,0,0,Bannerghatta Road,Delivery,Food Court,"","Seafood, Mangalorean, Kerala",600,Jayanagar
4700BC Popcorn,No,No,4.1,55,Whitefield,Delivery,"Takeaway, Delivery",Chocolate Popcorn,Fast Food,500,Whitefield
4Foodiez,Yes,No,3.7,82,Electronic City,Delivery,Quick Bites,"","South Indian, North Indian, Chinese",300,Electronic City
4Foodiez - The Restaurant,No,No,3.0,23,Electronic City,Delivery,Quick Bites,"","Street Food, Chinese, North Indian, South Indian",400,Electronic City
4K Biryani,Yes,No,3.3,4,HSR,Delivery,Delivery,"","North Indian, Chinese",700,HSR
4S Bar,No,No,0,0,Koramangala 4th Block,Dine-out,Casual Dining,"","North Indian, Chinese",800,Koramangala 4th Block
4-States,No,No,0,0,Bellandur,Dine-out,Food Court,"",South Indian,250,Sarjapur Road
4th Tea Block,No,No,4.0,62,Jayanagar,Cafes,Cafe,"Rose Tea, Hibiscus Tea, Masala Chai, Ginger Tea",Cafe,150,Jayanagar
5 Degree Centigrade,No,No,0,0,Koramangala 7th Block,Desserts,Beverage Shop,"","Beverages, Ice Cream",150,Koramangala 4th Block
5 star food,Yes,No,0,0,Kammanahalli,Delivery,Quick Bites,"","South Indian, Fast Food",300,Frazer Town
5 star food,Yes,No,0,0,Kammanahalli,Delivery,Quick Bites,"","South Indian, Fast Food",300,Kalyan Nagar
50-50 EATING HOUSE,No,No,3.2,4,Basavanagudi,Dine-out,Quick Bites,"","South Indian, Biryani",100,Basavanagudi
52 Wall Street,No,No,3.9,737,Koramangala 6th Block,Dine-out,"Bar, Casual Dining","Beer, Cocktails, Noodles, Buffalo Wings, Chilli Chicken, Pizza, Chicken Tikka","American, Continental, Finger Food",1400,BTM
55 Wall Street,No,Yes,3.9,1763,JP Nagar,Dine-out,Bar,"Cocktails, Beer, Bloody Mary, Pasta, Pizza, Burgers, Nachos","Finger Food, North Indian, Chinese",1300,Bannerghatta Road
56 Bhoga Sweets,No,No,3.6,51,HSR,Delivery,"Takeaway, Delivery","Dahi Vada, Rasgulla, Samosa","Mithai, Street Food",150,Koramangala 4th Block
5th Main Cafe,No,No,3.5,15,HSR,Dine-out,Cafe,"","Cafe, Fast Food",250,BTM
7 Days Restaurant,Yes,No,3.8,478,Electronic City,Delivery,Quick Bites,"Egg Noodles, Lamb Chops, Hyderabadi Chicken Dum Biryani, Gajar Ka Halwa, Al Faham Chicken, Fried Rice","North Indian, Chinese, Arabian",400,Electronic City
7 Degrees North,No,No,3.5,11,HSR,Dine-out,Casual Dining,"",North Indian,500,HSR
7 Hills Andhra Mess,No,No,3.4,8,CV Raman Nagar,Dine-out,Mess,"",Andhra,300,Old Airport Road
7 Hills Garden Restaurant,Yes,No,0,0,Banashankari,Dine-out,Quick Bites,"","North Indian, Mughlai, Chinese",400,Banashankari
7 Hills Restaurant,No,No,0,0,Banashankari,Dine-out,Casual Dining,"","North Indian, South Indian",500,Banashankari
7 Plates,Yes,No,3.9,169,Frazer Town,Dine-out,Quick Bites,"Rolls, Biryani, Butter Chicken, Chicken Manchurian Roll","North Indian, Mughlai, Rolls, Fast Food",600,Frazer Town
7 Shanghai,Yes,No,3.5,18,Electronic City,Delivery,Quick Bites,"",Chinese,250,Electronic City
7 Spice,No,No,3.4,5,Banaswadi,Dine-out,Quick Bites,"","Biryani, Chinese",250,Kammanahalli
7 Star Biryani,Yes,No,3.2,15,Koramangala 6th Block,Delivery,"","",Biryani,250,Koramangala 4th Block
7 to 11 Food Court,Yes,No,3.7,16,Banaswadi,Delivery,Quick Bites,"","Fast Food, Burger, North Indian, South Indian",200,Frazer Town
70 Brigade - Iris Hotel,No,Yes,3.9,105,Brigade Road,Buffet,Casual Dining,"Salads, Jalebi, Pasta, Rabri, Fish Curry, Salad, Mysore Pak","Chinese, North Indian, Pizza",1000,Brigade Road
7Biryanis,Yes,No,3.2,4,Nagawara,Delivery,Casual Dining,"","Andhra, Biryani",600,Kalyan Nagar
7th Heaven,No,No,3.6,17,New BEL Road,Delivery,Bakery,"","Bakery, Desserts",300,New BEL Road
8 Slice,Yes,No,3.7,74,Koramangala 6th Block,Delivery,Delivery,"",Pizza,600,Brigade Road
9 Bowls,Yes,No,0,0,Koramangala 1st Block,Delivery,Quick Bites,"","Healthy Food, Continental, North Indian, Chinese",500,HSR
9 Tea,No,No,0,0,Bannerghatta Road,Delivery,"Takeaway, Delivery","","South Indian, Street Food, Tea",200,Bannerghatta Road
90's,No,No,0,0,HSR,Dine-out,Quick Bites,"",North Indian,200,HSR
90's Beer Cafe - Hotel Millennium Plaza,No,No,3.0,7,Electronic City,Pubs and bars,Bar,"",Finger Food,1000,Electronic City
90's Cafe,No,No,0,0,JP Nagar,Desserts,Quick Bites,"","Fast Food, Burger",500,JP Nagar
99 Caffe,Yes,No,3.6,106,Brookefield,Dine-out,Quick Bites,"Mudpie, Sandwich, Masala Dosa, Hot Coffee, Pasta, Pizza Dosa, Paratha","South Indian, North Indian, Chinese",250,Brookefield
99 Eat Out,No,No,0,0,Indiranagar,Delivery,Delivery,"","North Indian, Continental, Chinese",200,Old Airport Road
99 Pancakes,Yes,No,4.5,342,Koramangala 5th Block,Desserts,"Dessert Parlor, Cafe","Pan Cake, Waffles, Nutella Pancakes","Desserts, Cafe",300,Koramangala 4th Block
99 Udupi Veg,No,No,0,0,Marathahalli,Dine-out,Quick Bites,"","South Indian, North Indian",300,Brookefield
99 Variety Dosa & Pav Bhaji,Yes,No,3.8,16,Koramangala 6th Block,Delivery,Quick Bites,"","South Indian, North Indian, Street Food",250,Koramangala 7th Block
99 Variety Dosa and Pav Bhaji,Yes,No,4.0,101,HSR,Delivery,Quick Bites,"","South Indian, North Indian, Street Food",250,Koramangala 4th Block
99 Variety Dose-Biryanis-Starters,Yes,No,0,0,HSR,Delivery,"Takeaway, Delivery","","South Indian, North Indian, Fast Food, Chinese",300,HSR
99Foods,No,No,3.4,32,Marathahalli,Dine-out,Quick Bites,"","Biryani, North Indian, Chinese, Kebab",400,Marathahalli
9D Foods,Yes,No,4.1,461,Marathahalli,Dine-out,Quick Bites,"Kheer, Paneer Chatpata, Mango Lassi, Thali, Paratha, Gulab Jamun, Buttermilk","North Indian, Street Food",400,Marathahalli
9th Cross Cafe,No,No,3.6,12,Jeevan Bhima Nagar,Cafes,Cafe,"","Cafe, Italian, French",550,Indiranagar
A 1 Pizza and Food,Yes,No,2.8,215,Old Airport Road,Delivery,Delivery,Pizza,"Pizza, Chinese, North Indian",300,Old Airport Road
A Baker's Confession,No,No,0,0,Kalyan Nagar,Desserts,Bakery,"",Bakery,400,Kalyan Nagar
A Bar,No,No,3.3,19,HSR,Pubs and bars,Bar,"","North Indian, Continental",600,HSR
A Hole Lotta Love Cafe,Yes,No,4.4,2867,Koramangala 5th Block,Cafes,Cafe,"Burgers, Waffles, Pancakes, Chicken Lasagne, English Breakfast, Sandwiches, Pasta","Cafe, American, Burger, Sandwich, Beverages",600,Koramangala 4th Block
A La Carte Restaurant,No,No,0,0,Sarjapur Road,Dine-out,Quick Bites,"","Chinese, North Indian",500,HSR
A Little For Love,No,No,3.4,12,Hennur,Desserts,Bakery,"",Bakery,350,Kalyan Nagar
A M Biryani Hotel,Yes,No,3.3,6,Bannerghatta Road,Delivery,Quick Bites,"","North Indian, Chinese, Biryani, Fast Food",300,Bannerghatta Road
A Pinch Of Magic,No,No,0,0,Whitefield,Delivery,"Takeaway, Delivery","","Bakery, Desserts",1000,Whitefield
A Southern Fair,Yes,No,3.2,16,Whitefield,Delivery,Casual Dining,"","Biryani, Seafood, South Indian",750,Brookefield
A Today Thick Shakes,No,No,3.2,9,Koramangala 5th Block,Delivery,Beverage Shop,"",Beverages,200,Koramangala 4th Block
A.M New Punjab Food Corner,Yes,No,3.5,21,Koramangala 1st Block,Dine-out,Quick Bites,"","North Indian, Chinese",350,Koramangala 6th Block
A1 Ambur Biryani,No,No,0,0,Shivajinagar,Dine-out,Quick Bites,"",Biryani,200,Residency Road
A1 Ambur Dum Biryani And Parota Centre,No,No,3.2,4,Basaveshwara Nagar,Dine-out,Quick Bites,"",Biryani,300,Rajajinagar
A1 Biriyani Point,No,No,3.0,10,Seshadripuram,Dine-out,Quick Bites,"",Biryani,200,Malleshwaram
A-1 Chicken Biriyani & Kababs,No,No,0,0,Bannerghatta Road,Delivery,Quick Bites,"",Mughlai,200,JP Nagar
A1 Express,No,No,0,0,Jayanagar,Desserts,Bakery,"",Bakery,300,Jayanagar
A-1 Fast Food,No,No,0,0,Electronic City,Dine-out,Quick Bites,"",Fast Food,100,Electronic City
A1 Garam Masala,Yes,No,3.6,25,Kanakapura Road,Delivery,Casual Dining,"","North Indian, South Indian, Andhra, Chinese",600,Bannerghatta Road
A1 Hot Dum Biryani,No,No,3.2,4,Whitefield,Dine-out,Quick Bites,"",Biryani,150,Whitefield
A1 Spice Inn,No,No,3.5,46,Yeshwantpur,Delivery,Casual Dining,"","Biryani, Chinese, Hyderabadi, North Indian, South Indian",500,Malleshwaram
A1 Tasty Lime Rice,No,No,0,0,Frazer Town,Dine-out,Quick Bites,"",South Indian,150,Frazer Town
A2B - Adyar Ananda Bhavan,Yes,No,4.2,40,BTM,Delivery,"Takeaway, Delivery","","South Indian, North Indian, Street Food",200,Koramangala 7th Block
A2B Veg - Adyar Ananda Bhavan,Yes,No,2.9,96,Rajajinagar,Dine-out,Casual Dining,"Pongal, Vada, Curd Rice","South Indian, North Indian, Chinese, Street Food, Fast Food",400,Rajajinagar
A3 Nuwang Kitchen,Yes,No,3.7,42,Ejipura,Delivery,Quick Bites,"","Chinese, North Indian",300,Old Airport Road
Aaccord Restaurant,Yes,No,0,0,BTM,Delivery,Casual Dining,"","Continental, North Indian, Chinese",600,Koramangala 7th Block
Aadhya Hotel,Yes,No,3.3,5,Basavanagudi,Delivery,"Casual Dining, Bar","","South Indian, North Indian, Chinese, Biryani",800,Banashankari
Aadhya's Fresh and Rich,No,No,0,0,Indiranagar,Dine-out,Quick Bites,"","Sandwich, Fast Food, Beverages",250,Indiranagar
Aadvik Nightfood,Yes,No,3.6,22,Frazer Town,Delivery,Delivery,"",Fast Food,350,Kammanahalli
Aafa Calicut Restaurant,No,No,0,0,Electronic City,Dine-out,Quick Bites,"","Fast Food, Chinese",150,Electronic City
Aagaman Veg,Yes,No,4.0,556,Indiranagar,Dine-out,Casual Dining,"Jalebi, Lunch Buffet, Dal Kichadi, Panneer Butter Masala, Crispy Corn, Dal Makhani, Gulab Jamun","North Indian, Chinese, South Indian",900,Indiranagar
Aaha,Yes,No,3.6,94,Brookefield,Dine-out,Quick Bites,"Paratha, Tandoori Chicken, Panneer Butter Masala, Chole Bhature","North Indian, Chinese",300,Brookefield
Aaha Andhra,No,No,4.2,807,Indiranagar,Delivery,Casual Dining,"Faluda, Chicken Curry, Keema Biryani, Vegetable Biryani, Chicken Dosa, Guntur Chicken Biryani, Thali","Andhra, Biryani, North Indian",900,Indiranagar
Aahar,No,No,0,0,Marathahalli,Dine-out,Quick Bites,"",North Indian,500,Brookefield
Aahar Cafe,No,No,0,0,Thippasandra,Dine-out,Cafe,"",Cafe,300,Old Airport Road
Aahar Vihar,Yes,No,4.0,68,Marathahalli,Delivery,Quick Bites,"Mutton Curry, Aloo Paratha",North Indian,250,Brookefield
Aahara,No,No,0,0,Banaswadi,Delivery,Quick Bites,"","Modern Indian, Biryani",300,Kalyan Nagar
Aahara Vihar,No,No,3.5,13,Malleshwaram,Dine-out,Quick Bites,"","South Indian, North Indian, Chinese",300,Malleshwaram
Aaharaa,No,No,0,0,BTM,Dine-out,Quick Bites,"",North Indian,300,Koramangala 4th Block
Aaharam,No,No,4.0,65,Koramangala 1st Block,Delivery,Quick Bites,"Chicken Noodle, Noodles, Paneer Lababdar, Paratha","Chinese, North Indian",350,Koramangala 4th Block
Aalishan Restaurant & Caterer,Yes,No,3.5,889,Koramangala 7th Block,Dine-out,Casual Dining,"Rolls, Tandoori Murgh Masala, Legendary Arsalan, Firni, Phirni, Mutton Biryani, Chicken Roll","North Indian, Mughlai",650,Koramangala 5th Block
AAlvina Restaurant,No,No,0,0,Kumaraswamy Layout,Dine-out,Quick Bites,"","North Indian, South Indian, Chinese",400,Residency Road
Aamaravathi Biryani Zone,Yes,No,0,0,Electronic City,Delivery,Delivery,"",Biryani,300,HSR
Aami Bangali,Yes,No,3.6,73,Koramangala 5th Block,Delivery,Casual Dining,"Basanti Pulao, Fish, Aloo Posto, Thali, Daab Chingri",Bengali,700,Koramangala 5th Block
Aami Kolkata,No,No,3.3,5,Bannerghatta Road,Delivery,Delivery,"",Bengali,600,JP Nagar
Aao G Khao G,Yes,No,3.5,11,HSR,Dine-out,Quick Bites,"","North Indian, Chinese",200,HSR
Aapni Rasoi,Yes,No,3.2,127,Bellandur,Delivery,Quick Bites,"Dal Tadka, Matar Methi Malai, Malai Kofta, Jeera Rice, Roti",North Indian,400,Sarjapur Road
AAR Chinese And Grill Food Truck,No,No,0,0,South Bangalore,Dine-out,Food Truck,"","BBQ, Chinese",200,HSR
Aaranya Restaurant,Yes,No,3.4,212,HSR,Dine-out,Casual Dining,"Murgh Makhani, Chicken Biryani, Naan, Beer, Tandoori Chicken","North Indian, Chinese, Mughlai",800,Koramangala 5th Block
Aarti Paratha & Rolls Corner,Yes,No,3.6,15,New BEL Road,Delivery,Quick Bites,"","North Indian, Fast Food",200,New BEL Road
Aarush's Food Plaza,No,No,0,0,Banashankari,Delivery,Quick Bites,"","North Indian, Street Food",200,Banashankari
Aarya Pork Hotel,No,No,3.4,12,BTM,Dine-out,Quick Bites,"","South Indian, Biryani, Chinese",300,Koramangala 5th Block
Aashirvaad Restaurant,Yes,No,3.1,249,Marathahalli,Delivery,Quick Bites,"","North Indian, Oriya, Chinese",300,Brookefield
Aashish Foods,Yes,No,3.8,35,Marathahalli,Delivery,Quick Bites,"Paratha, Thali, Rajma",North Indian,150,Marathahalli
Aasife & Brothers Biriyani Centre,Yes,No,3.9,125,HSR,Dine-out,Casual Dining,"Biryani, Fried Rice, Fish, Chicken Lollipop","Biryani, North Indian, South Indian, Chinese",600,HSR
Aastha Bengali Mess,Yes,No,3.9,131,Yeshwantpur,Dine-out,Quick Bites,"","Chinese, Bengali",250,Malleshwaram
Aata's Kitchen,Yes,No,3.3,8,Koramangala 1st Block,Dine-out,Quick Bites,"","South Indian, North Indian",250,Koramangala 6th Block
Aathithya,No,No,3.1,16,Infantry Road,Dine-out,Casual Dining,"","North Indian, Continental, Chinese",1100,MG Road
Aathurar,Yes,No,3.3,584,Jeevan Bhima Nagar,Delivery,Casual Dining,"Sea Food, Jumbo Vanjiram, Chicken Biryani, Mutton Biryani, Naan, Paratha, Chicken Chettinad","Chettinad, Biryani, South Indian, Seafood",600,Old Airport Road
AB Cafe,No,No,0,0,Marathahalli,Dine-out,"Quick Bites, Beverage Shop","","Fast Food, Beverages",300,Brookefield
Abbabi Chicken,Yes,No,3.8,133,Bellandur,Dine-out,Quick Bites,"Rolls, Chicken Shawarama, Chicken Shwarma Roll, Abbabi Chicken, Shawarma Roll",Fast Food,200,Bellandur
ABC Grand,Yes,No,3.5,54,Indiranagar,Dine-out,Casual Dining,Biryani,"Andhra, Chinese, North Indian",700,Indiranagar
ABCD - Anybody Can Dine,No,No,0,0,Electronic City,Delivery,Quick Bites,"","Chinese, Fast Food",500,Electronic City
Abhiruchi,No,No,3.8,167,Kammanahalli,Dine-out,Casual Dining,Biryani,"Andhra, Seafood, North Indian, Chinese",650,Kammanahalli
Abhiruchi Andhra Mess,Yes,No,3.4,31,Whitefield,Delivery,Mess,"","Andhra, Biryani, South Indian",300,Brookefield
Abhiruchi Hotel,Yes,No,3.5,735,BTM,Delivery,Casual Dining,"Dum Biryani, Prawn Curry, Paneer Biryani, Chicken Boneless Biryani, Apollo Fish","Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",600,Jayanagar
Abhiruchi Moonlight,Yes,No,3.3,4,Bommanahalli,Delivery,"Takeaway, Delivery","",North Indian,300,Koramangala 5th Block
Abhiruchi Restaurant,Yes,No,3.7,173,Whitefield,Delivery,Quick Bites,Chicken Biryani,"Biryani, Andhra, North Indian, Chinese",550,Whitefield
AB's - Absolute Barbecues,No,Yes,4.9,6452,BTM,Dine-out,Casual Dining,"Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema","European, Mediterranean, North Indian, BBQ",1600,Jayanagar
Absolute Chinese,Yes,No,3.8,209,Rajajinagar,Delivery,Quick Bites,"Momos, Noodles, Fish, Spring Roll, Chicken Noodle, Hunan Chicken, Chicken Momo","Chinese, Fast Food, Momos",450,Rajajinagar
Absolute Shawarma,Yes,No,3.8,121,Marathahalli,Delivery,"Takeaway, Delivery",Mexican Shawarma,Lebanese,150,Marathahalli
Absolute Waffles,Yes,No,3.9,49,New BEL Road,Delivery,Dessert Parlor,Waffles,"Desserts, Fast Food",200,New BEL Road
Aburrahaman,No,No,0,0,Thippasandra,Delivery,Delivery,"","North Indian, South Indian, Chinese",400,Old Airport Road
ABY?s Kitchen,No,No,0,0,Banaswadi,Delivery,Quick Bites,"","Chinese, North Indian",350,Kalyan Nagar
Abzain Paradise,No,No,2.9,42,Sanjay Nagar,Dine-out,Quick Bites,"",North Indian,300,New BEL Road
AcciaRolee,No,No,0,0,Indiranagar,Delivery,Delivery,"",Healthy Food,500,Indiranagar
Achayyan's,Yes,No,3.8,405,Indiranagar,Dine-out,Quick Bites,"Beef Fry, Kerala Parotta, Fish, Roast Beef, Appam, Crab Toast, Mackerel Fry","Kerala, South Indian",350,Indiranagar
